model,original_model_name,archive_source,model_used,accuracy_mean,accuracy_median,accuracy_ci_lower,accuracy_ci_upper,accuracy_std,accuracy_n_datasets,accuracy_n_runs,balanced_accuracy_mean,balanced_accuracy_median,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,balanced_accuracy_std,balanced_accuracy_n_datasets,balanced_accuracy_n_runs,f1_macro_mean,f1_macro_median,f1_macro_ci_lower,f1_macro_ci_upper,f1_macro_std,f1_macro_n_datasets,f1_macro_n_runs,f1_micro_mean,f1_micro_median,f1_micro_ci_lower,f1_micro_ci_upper,f1_micro_std,f1_micro_n_datasets,f1_micro_n_runs,f1_weighted_mean,f1_weighted_median,f1_weighted_ci_lower,f1_weighted_ci_upper,f1_weighted_std,f1_weighted_n_datasets,f1_weighted_n_runs,precision_macro_mean,precision_macro_median,precision_macro_ci_lower,precision_macro_ci_upper,precision_macro_std,precision_macro_n_datasets,precision_macro_n_runs,recall_macro_mean,recall_macro_median,recall_macro_ci_lower,recall_macro_ci_upper,recall_macro_std,recall_macro_n_datasets,recall_macro_n_runs,roc_auc_mean,roc_auc_median,roc_auc_ci_lower,roc_auc_ci_upper,roc_auc_std,roc_auc_n_datasets,roc_auc_n_runs
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,0.429,0.43,0.368,0.49,0.256,69,69,0.365,0.391,0.317,0.412,0.199,69,69,0.309,0.3,0.26,0.359,0.208,69,69,0.429,0.43,0.368,0.49,0.256,69,69,0.384,0.396,0.318,0.449,0.275,69,69,0.342,0.352,0.287,0.397,0.232,69,69,0.365,0.391,0.317,0.412,0.199,69,69,0.504,0.5,0.485,0.522,0.0777,69,69
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,0.501,0.515,0.437,0.565,0.269,69,69,0.443,0.492,0.39,0.496,0.222,69,69,0.402,0.419,0.346,0.458,0.235,69,69,0.501,0.515,0.437,0.565,0.269,69,69,0.473,0.523,0.405,0.541,0.285,69,69,0.42,0.435,0.363,0.477,0.241,69,69,0.443,0.492,0.39,0.496,0.222,69,69,0.597,0.551,0.55,0.643,0.139,69,35
CLAM,CLAM-t-SNE-tabular,clam-cls,,0.845,0.9,0.808,0.882,0.151,69,65,0.802,0.848,0.76,0.845,0.173,69,65,0.799,0.845,0.756,0.842,0.176,69,65,0.845,0.9,0.808,0.882,0.151,69,65,0.843,0.896,0.805,0.881,0.154,69,65,0.809,0.863,0.766,0.851,0.173,69,65,0.802,0.848,0.76,0.845,0.173,69,65,0.776,0.78,0.727,0.826,0.146,69,35
jolt,JOLT,jolt,,0.41,0.415,0.346,0.474,0.266,67,67,0.339,0.462,0.297,0.381,0.175,67,67,0.273,0.268,0.232,0.314,0.17,67,67,0.41,0.415,0.346,0.474,0.266,67,67,0.352,0.349,0.29,0.415,0.261,67,67,0.277,0.245,0.233,0.321,0.183,67,67,0.339,0.462,0.297,0.381,0.175,67,67,0.501,0.5,0.491,0.511,0.037,67,57
catboost,catboost,tabular_baselines,,0.87,0.915,0.85,0.89,0.143,70,198,0.815,0.879,0.79,0.839,0.178,70,198,0.818,0.88,0.793,0.843,0.176,70,198,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0.926,0.977,0.91,0.941,0.109,70,198
tabpfn_v2,tabpfn_v2,tabular_baselines,,0.878,0.915,0.858,0.898,0.14,66,185,0.822,0.886,0.796,0.848,0.179,66,185,0.823,0.884,0.797,0.849,0.179,66,185,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0.93,0.979,0.915,0.945,0.103,66,185
random_forest,random_forest,tabular_baselines,,0.865,0.918,0.845,0.885,0.143,70,198,0.803,0.868,0.779,0.828,0.176,70,198,0.81,0.878,0.786,0.834,0.173,70,198,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0.919,0.973,0.903,0.935,0.115,70,198
gradient_boosting,gradient_boosting,tabular_baselines,,0.854,0.901,0.834,0.874,0.144,70,198,0.795,0.833,0.77,0.819,0.177,70,198,0.799,0.84,0.775,0.823,0.174,70,198,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0.918,0.972,0.903,0.934,0.111,70,198
logistic_regression,logistic_regression,tabular_baselines,,0.825,0.875,0.803,0.847,0.158,70,198,0.748,0.758,0.721,0.776,0.194,70,198,0.75,0.765,0.722,0.778,0.198,70,198,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0.891,0.952,0.873,0.909,0.129,70,198
